carat,depth,table,price,size,Good,Ideal,Premium,Very Good,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
0.75,61.5,55.0,3336,125.58504,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.25,59.3,57.0,7560,210.52710000000002,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.1,62.6,55.0,4624,179.08506,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.06,62.7,54.0,6055,175.09459999999996,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.21,61.3,56.0,9779,198.40888,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.7,62.6,60.0,2765,112.08809000000001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.97,60.2,61.0,4140,160.00128,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.43,60.7,54.0,891,73.2096,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.33,61.7,55.0,838,55.84320000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.83,62.2,60.0,3347,134.055454,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,62.1,55.0,628,50.55047999999999,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.71,61.7,57.0,2370,116.63308799999999,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.34,61.4,56.0,1033,56.46645,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,62.0,53.0,4551,165.22191,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.02,62.6,59.0,7741,166.87665800000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.42,61.8,57.0,1024,67.91335199999999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.71,61.4,56.0,3229,117.447288,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.4,62.1,57.0,6350,227.300472,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.73,61.6,56.0,4134,118.93248000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.01,62.2,53.0,6613,171.63576,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0.39,62.5,60.0,951,63.056208,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.29,58.9,56.0,504,48.854414999999996,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0.51,62.9,58.0,1438,82.7392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1.21,61.3,57.0,10685,196.78428000000002,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.31,61.9,55.0,680,51.44202,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.56,63.0,58.0,6971,249.34728,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.4,61.7,56.0,1172,65.328576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.41,63.1,59.0,904,66.5285,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.51,62.4,56.0,1916,83.45996999999998,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.5,61.5,55.0,1554,83.32161600000002,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,61.6,56.0,838,49.64092,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.72,62.5,54.0,3330,118.487232,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.41,63.3,60.0,680,64.68902399999999,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1.26,59.6,57.0,4704,206.77817600000003,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.43,62.4,57.0,792,69.2634,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.56,61.7,56.0,1197,90.88227999999998,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.32,63.1,56.0,720,52.827504,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.31,62.6,57.0,625,50.15439000000001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.41,62.0,57.0,1076,66.193512,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,61.9,58.0,907,50.246784,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.28,60.6,59.0,642,46.20140399999999,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.51,61.4,58.0,1836,84.56609,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.76,60.5,60.0,2491,124.48161599999999,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.2,62.1,59.0,5280,193.239,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.42,62.4,57.0,921,69.2622,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0.71,61.3,56.0,2817,116.91148200000002,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.33,60.3,61.0,933,54.755008000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.01,63.3,57.0,7885,160.92771599999998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.71,63.1,57.0,2096,112.522575,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.83,61.3,58.0,2990,133.5042,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.09,62.6,56.0,5601,178.64731999999998,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.28,60.2,56.0,598,48.00046999999999,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.37,61.4,58.0,749,60.748735999999994,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.09,59.5,58.0,5706,180.63320000000002,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.42,61.5,56.0,1289,69.95251999999999,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.35,61.4,56.0,1254,57.632472,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.09,62.5,56.0,5125,176.16634,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.3,61.8,59.0,5438,209.38195499999998,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.71,61.3,56.0,1901,116.91148200000002,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.24,60.6,59.0,552,39.0744,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.26,62.2,58.0,6332,204.245184,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.53,62.4,57.0,1832,87.440472,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,61.3,56.0,802,51.179424000000004,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.01,60.5,58.0,4799,164.346,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,62.6,60.0,709,48.5673,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.23,61.3,56.0,10445,201.389877,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.34,62.0,54.0,464,57.790459999999996,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.31,62.0,57.0,489,51.20658,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.97,59.9,59.0,4063,158.01984000000002,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1.01,61.3,54.0,5006,168.315756,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,62.4,58.0,4355,162.91648800000002,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0.26,61.9,56.0,418,42.21811,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,63.5,57.0,842,64.41552,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.01,62.2,60.0,6533,161.84896,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.52,60.4,56.0,1337,89.88767999999999,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.1,61.7,56.0,11132,181.03959999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.31,62.4,57.0,558,50.62094999999999,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.29,61.7,57.0,647,47.211876000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.42,60.9,57.0,1103,69.912832,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.74,59.1,58.0,1923,125.03286399999999,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0.34,61.9,60.0,537,54.2113,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1.34,62.4,58.0,7636,214.128252,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.5,61.4,56.0,1066,83.647728,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.51,61.4,57.0,1656,83.647728,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.01,62.1,62.0,5826,158.36908800000003,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.39,63.1,56.0,1065,63.841218,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,59.1,60.0,2536,114.45371999999998,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.7,62.2,58.0,2106,116.676864,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.4,61.3,55.0,1323,66.29860000000001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.33,59.9,60.0,6614,215.35024199999998,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.32,62.9,56.0,900,52.6361,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.9,62.5,56.0,3188,146.080935,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0.34,62.9,58.0,686,55.446720000000006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9,63.4,60.0,3342,139.95356199999998,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0.4,63.1,59.0,596,64.47225000000002,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.56,60.1,58.0,2959,94.12588800000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.4,61.3,56.0,1323,65.518068,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.35,61.9,56.0,6124,220.67651999999998,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,60.1,62.0,5629,162.83851200000004,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.53,61.5,56.0,1427,88.242812,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.41,62.4,58.0,1115,65.9974,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.5,60.3,58.0,1846,82.80437199999999,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.34,62.4,54.0,745,56.32256,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.15,61.7,59.0,5038,186.119496,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.3,59.5,58.0,675,50.83795599999999,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.51,63.2,58.0,1417,81.9312,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1.1,59.8,61.0,3745,177.77445000000003,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.25,63.0,54.0,525,41.251632,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.7,61.6,56.5,2487,113.43617999999998,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.42,62.2,56.0,1103,68.37222599999998,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.52,62.3,58.0,8608,245.87514000000002,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.4,63.3,58.0,687,65.967664,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.23,60.9,57.0,530,37.792415000000005,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.3,61.8,58.0,684,50.47833600000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.73,61.4,58.0,2841,119.549784,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.3,61.4,55.0,673,50.405328000000004,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.01,60.5,57.0,4837,171.09906,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.52,61.2,57.0,1292,86.58936,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.32,61.1,56.0,972,52.078131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.71,59.0,59.0,2735,116.913216,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,62.1,55.0,844,49.898920000000004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.6,61.8,57.0,6899,259.393898,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.5,60.0,56.0,2260,84.201936,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,63.0,56.0,4081,161.03119999999998,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.7,62.4,61.0,2415,113.98799999999999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.53,61.6,57.0,1813,86.36096,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.91,64.1,60.0,4744,144.40374,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,63.4,61.0,5600,155.571199,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.59,59.5,58.0,2551,100.60589700000001,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.57,63.3,56.0,1072,93.11352199999999,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.36,61.1,57.0,852,59.458476000000005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.53,61.5,56.0,1094,87.467043,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.04,61.9,58.0,6908,172.26762,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.33,63.2,58.0,572,52.707168,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1.04,61.4,55.0,4423,172.1967,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.3,61.1,58.0,673,49.26768,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.27,61.3,57.0,682,43.955208,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.51,61.9,55.0,1597,85.53120000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.23,62.4,59.0,530,37.301988,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0.32,62.3,60.0,591,52.37232000000001,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.41,62.5,57.0,1013,66.362016,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.7,63.2,57.0,9253,276.5112,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.54,60.2,61.0,1771,89.436116,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.72,62.7,55.0,2670,116.72232,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.58,61.9,63.0,2243,92.13224799999999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.11,62.5,54.0,6737,181.268178,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.03,61.3,60.0,5010,170.0412,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1.75,63.3,59.0,8840,277.82127099999997,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.57,61.7,60.0,1944,91.85299200000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,62.5,56.0,694,49.321915999999995,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.92,62.2,56.0,4011,149.72256000000002,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.32,62.2,55.0,827,52.61174100000001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.22,61.3,56.0,8596,198.40888,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.5,61.8,57.0,6443,243.05896199999998,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.33,61.8,55.0,1114,53.893060000000006,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.71,61.2,58.0,3113,113.38870399999999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0.54,61.6,61.0,1637,87.29916,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.0,62.7,58.0,4579,162.5576,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.5,61.3,56.0,1629,83.05794,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.7,62.5,57.0,2593,113.40460799999998,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,62.4,55.0,475,49.96944,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.01,63.2,57.0,6787,162.86225999999996,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.4,61.6,57.0,1050,65.602764,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.26,61.3,60.0,491,42.08868400000001,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.01,63.2,62.0,3823,158.864643,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.31,61.4,54.0,680,52.152660000000004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.29,61.2,56.0,6918,212.50814999999997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.15,62.9,54.0,7978,189.717696,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.31,60.8,55.0,930,52.00218399999999,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.3,62.5,57.0,776,49.853232000000006,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.77,61.7,55.0,3154,125.71779000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.96,63.2,57.0,4247,154.295295,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0.41,62.3,61.0,818,66.139,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,63.1,59.0,4836,160.78080000000003,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.31,61.7,59.0,558,51.67908,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.42,62.8,57.8,1247,70.24752,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3,60.9,58.0,863,49.610879999999995,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.75,61.8,57.0,3048,120.22284400000001,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.24,61.8,56.0,442,39.976608000000006,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.57,62.0,55.0,2360,92.59047,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.03,61.7,56.0,7137,170.62729199999998,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.34,61.9,56.0,1014,56.04396599999999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.26,61.2,57.0,545,43.467424,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.72,61.5,60.0,2961,118.18837499999998,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.38,61.6,57.0,626,61.573511999999994,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.27,61.8,56.0,682,45.078534000000005,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.31,60.9,57.0,680,50.14436,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.33,60.8,57.0,681,55.6083,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1.5,61.9,58.0,8649,241.19533599999997,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
